City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Bugac,HU,46.687,19.6807,47.82,93,9,7.65,clear sky
182,Sekoma,BW,-24.4,23.8833,59.45,31,28,10.87,scattered clouds
183,Sucre,BO,-19.0333,-65.2627,58.64,63,72,3.6,broken clouds
184,Buluang,PH,13.3068,123.3425,85.35,75,100,0.6,overcast clouds
185,Maldonado,UY,-34.6667,-54.9167,52.23,86,0,2.95,clear sky
186,Quatre Cocos,MU,-20.2078,57.7625,74.08,74,63,13.33,broken clouds
187,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,91,29,5.75,scattered clouds
188,Hithadhoo,MV,-0.6,73.0833,82.18,73,83,7.63,broken clouds
189,Manggar,ID,-2.8833,108.2667,82.4,74,99,9.8,overcast clouds
190,Thessalon,CA,46.2501,-83.5666,63.09,91,100,6.08,overcast clouds
191,Ler,SS,8.3018,30.1418,70.95,90,50,3.89,scattered clouds
192,Beloha,MG,-25.1667,45.05,71.26,57,0,5.17,clear sky
193,Klaksvik,FO,62.2266,-6.589,49.12,91,100,16.53,overcast clouds
194,Felanitx,ES,39.4696,3.1483,64.13,87,2,4.18,clear sky
195,Talnakh,RU,69.4865,88.3972,23.43,92,90,2.64,overcast clouds
196,Tura,IN,25.5198,90.2201,79.39,87,59,2.19,broken clouds
197,Ariquemes,BR,-9.9133,-63.0408,77.11,72,20,1.34,few clouds
198,Dingle,PH,10.9995,122.6711,85.95,73,96,2.28,overcast clouds
199,Black Diamond,US,47.3087,-122.0032,54.27,86,100,1.97,overcast clouds
200,Kahului,US,20.8947,-156.47,82.42,72,1,25.32,clear sky
201,Nome,US,64.5011,-165.4064,33.87,65,20,19.57,few clouds
202,Jacqueville,CI,5.2052,-4.4146,78.71,89,100,4.38,light rain
203,Hermanus,ZA,-34.4187,19.2345,54.81,81,57,16.46,moderate rain
204,Fort Nelson,CA,58.8053,-122.7002,47.79,49,40,5.75,scattered clouds
205,Hvide Sande,DK,56.0045,8.1294,54.18,74,100,7.38,overcast clouds
206,Morro Bay,US,35.3658,-120.8499,77.88,65,10,1.99,clear sky
207,Cap Malheureux,MU,-19.9842,57.6142,75.47,69,63,8.99,broken clouds
208,New Norfolk,AU,-42.7826,147.0587,58.75,97,100,3.44,overcast clouds
209,Cuamba,MZ,-14.8031,36.5372,71.62,66,40,6.51,scattered clouds
210,Maumere,ID,-8.6199,122.2111,84.79,66,99,0.18,overcast clouds
211,Solnechnyy,RU,50.7214,136.6319,51.84,39,32,3.58,scattered clouds
212,Tigil,RU,57.8,158.6667,52.54,71,88,14.92,overcast clouds
213,Atuona,PF,-9.8,-139.0333,78.31,72,83,21.03,broken clouds
214,Padang,ID,-0.9492,100.3543,81.36,67,100,0.98,overcast clouds
215,Naantali,FI,60.4674,22.0243,51.12,93,40,8.05,scattered clouds
216,Say,NE,13.1007,2.3689,84.76,63,75,8.28,broken clouds
217,Margate,GB,51.3813,1.3862,48.69,87,71,9.93,broken clouds
218,Kula,TR,38.5473,28.6498,47.55,77,0,3.13,clear sky
219,Pakxan,LA,18.3778,103.6601,86.45,69,23,1.59,few clouds
220,Rapar,IN,23.5667,70.6333,81.39,76,5,7.23,clear sky
221,Palmer,US,42.1584,-72.3287,51.73,92,20,0.0,few clouds
222,Brattvag,NO,62.6002,6.4434,55.06,50,96,10.36,overcast clouds
223,Castro,BR,-24.7911,-50.0119,55.99,89,96,3.94,overcast clouds
224,Tame,CO,6.461,-71.73,72.39,86,16,4.59,few clouds
225,Katsuura,JP,35.1333,140.3,80.71,66,0,6.26,clear sky
226,Ust-Shonosha,RU,61.1531,41.343,39.83,95,84,4.05,broken clouds
227,Kumo,NG,10.0447,11.2122,72.34,93,99,8.59,overcast clouds
228,Key West,US,24.5557,-81.7826,82.99,78,20,9.22,few clouds
229,Chalatenango,SV,14.0333,-88.9333,74.52,95,7,2.35,clear sky
230,Martil,MA,35.6166,-5.2752,67.98,94,20,4.61,few clouds
231,Rio Gallegos,AR,-51.6226,-69.2181,33.85,75,0,14.97,clear sky
232,Ugoofaaru,MV,5.6667,73.0,81.32,77,87,13.09,overcast clouds
233,Beroroha,MG,-21.6667,45.1667,72.95,63,35,3.11,scattered clouds
234,Ilulissat,GL,69.2167,-51.1,30.22,80,75,3.44,light snow
235,Vestmannaeyjar,IS,63.4427,-20.2734,44.89,85,92,21.85,overcast clouds
236,Akdepe,TM,42.0551,59.3788,42.89,45,0,9.22,clear sky
237,Odweyne,SO,9.4092,45.064,73.56,62,67,9.95,broken clouds
238,Turukhansk,RU,65.8167,87.9833,33.01,93,99,3.74,overcast clouds
239,Abnub,EG,27.2696,31.1511,69.39,68,0,10.38,clear sky
240,Sobolevo,RU,54.4299,31.8996,38.25,92,21,6.04,few clouds
241,Zhigansk,RU,66.7697,123.3711,35.08,54,52,17.22,broken clouds
242,Sao Filipe,CV,14.8961,-24.4956,78.91,77,20,5.41,few clouds
243,Yar-Sale,RU,66.8333,70.8333,30.96,86,98,14.94,overcast clouds
244,Chardara,KZ,41.2547,67.9692,50.52,43,89,12.01,overcast clouds
245,Kaeo,NZ,-35.1,173.7833,68.32,60,0,6.35,clear sky
246,Okhotsk,RU,59.3833,143.3,35.96,90,58,0.94,broken clouds
247,Ornskoldsvik,SE,63.2909,18.7153,51.62,100,90,18.41,light rain
248,Enid,US,36.3956,-97.8784,67.14,88,40,0.0,scattered clouds
249,Melfi,IT,40.9965,15.6514,58.41,87,0,2.06,clear sky
250,Saldanha,ZA,-33.0117,17.9442,46.45,80,41,7.16,scattered clouds
251,Harwich,GB,51.9419,1.2844,48.99,87,89,1.99,overcast clouds
252,Zyryanka,RU,65.75,150.85,32.97,92,100,4.27,overcast clouds
253,Redlands,US,34.0556,-117.1825,78.64,22,0,1.99,clear sky
254,Sturgis,US,41.7992,-85.4192,64.44,41,1,3.44,clear sky
255,Providencia,MX,28.7167,-111.5833,84.25,53,0,8.5,clear sky
256,Mastic Beach,US,40.7668,-72.8521,61.39,80,1,1.99,clear sky
257,Xining,CN,36.6167,101.7667,60.33,31,100,0.69,overcast clouds
258,Coahuayana,MX,18.7333,-103.6833,78.28,89,100,2.04,overcast clouds
259,Coihaique,CL,-45.5752,-72.0662,37.35,93,90,3.44,overcast clouds
260,Geraldton,AU,-28.7667,114.6,68.41,52,90,12.66,overcast clouds
261,Calabozo,VE,8.9242,-67.4293,74.8,92,66,4.18,broken clouds
262,Labuhan,ID,-6.8844,112.2051,85.55,58,100,1.43,overcast clouds
263,Goch,DE,51.6667,6.1667,56.88,96,0,1.01,clear sky
264,Pietarsaari,FI,63.65,22.6833,50.13,84,100,18.45,overcast clouds
265,Mount Isa,AU,-20.7333,139.5,91.17,11,3,11.5,clear sky
266,Boquira,BR,-12.8231,-42.7306,76.44,48,44,6.24,scattered clouds
267,Isla Mujeres,MX,21.2311,-86.731,77.16,77,6,11.36,clear sky
268,Talgar,KZ,43.3027,77.2395,37.56,93,90,4.47,overcast clouds
269,Ahipara,NZ,-35.1667,173.1667,62.1,57,0,2.06,clear sky
270,Pombal,BR,-6.7703,-37.8017,79.75,57,0,13.4,clear sky
271,Waingapu,ID,-9.6567,120.2641,87.22,54,56,8.79,broken clouds
272,Imbituba,BR,-28.24,-48.6703,71.49,96,100,5.77,overcast clouds
273,Paamiut,GL,61.994,-49.6678,38.97,67,3,9.98,clear sky
274,Allen,US,41.0706,-85.0144,64.29,77,75,4.61,broken clouds
275,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.2,100,90,11.5,overcast clouds
276,Elk City,US,35.412,-99.4043,68.49,88,90,0.0,overcast clouds
277,Beringovskiy,RU,63.05,179.3167,28.11,66,2,1.14,clear sky
278,Touros,BR,-5.1989,-35.4608,76.1,85,9,12.62,clear sky
279,Vermilion,US,40.1667,-87.7506,72.61,68,1,1.01,haze
280,Taoudenni,ML,22.6783,-3.9836,88.65,10,4,9.98,clear sky
281,Nantucket,US,41.2835,-70.0995,60.96,76,20,4.61,few clouds
282,Teya,RU,60.3778,92.6267,36.81,81,99,4.94,overcast clouds
